padre,codigo,nombre,codigo_rubro,cuenta_contable_debito,cuenta_contable_credito,fecha_creacion,cabeza,fecha_expiracion,descripcion,tipo_concepto,afectacion_presupuesto_ingreso,afectacion_presupuesto_egreso,afectacion_contabilidad_ingreso,afectacion_contabilidad_egreso
,1-16,CESANTIAS,3-1-001-01-03-02-0002,5-1-01-24-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-17,BONIFICACION POR SERVICIO,3-1-001-01-01-08,5-1-01-50-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-18,RELIQ.SUELD.VACACION,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-19,RELIQUIDA QUINQUENIO,3-1-001-01-01-22,5-1-01-64-05-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-20,AJUSTE SUELDO,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-21,AJUSTE  GTOS  REPRES,3-1-001-01-01-04,5-1-01-05-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-22,SUBSIDIO FAMILIAR,3-1-001-01-02-99-0002,5-1-02-02-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-23,AJUSTE SUBS TRANSPOR,3-1-001-01-01-06,5-1-01-23-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-24,AJUSTE SUELDO VACAC.,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-25,AJUSTE PRIMA  TECNICA,3-1-001-01-01-15,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-26,AJUSTE PRIMA SERVIC.,3-1-001-01-01-11,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-27,AJUSTE PRIMA VACAC.,3-1-001-01-01-14,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-28,AJUSTE  PRIMA  NAVIDAD,3-1-001-01-01-13,5-1-01-14-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-29,AJUSTE PRIMA ALIMENT,3-1-001-01-01-07,5-1-01-60,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-30,AJUSTE VACAC. DINERO,3-1-001-01-01-01,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-31,AJUSTE PRIMA ANTIGUEDAD,3-1-001-01-01-16,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-32,INTERESES  CESANTIAS,3-1-001-01-03-01-02,5-1-01-25-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-33,QUINQUENIO  PROPORCIO,3-1-001-01-01-22,5-1-01-64-05-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-34,AJUSTE INTER  CESANT.,3-1-001-01-03-01-02,5-1-01-25-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-35,AJUSTE CESANT PARCIA,3-1-001-01-03-01-02,5-1-01-24-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-36,AJUSTE CESANTIAS,3-1-001-01-03-01-02,5-1-01-24-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-37,AJUSTE SUELDO RETROACTIVO,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-38,PRIMA SECRETARIAL,3-1-001-01-01-17,5-1-01-64-03-02,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-39,HORAS EXTRAS,3-1-001-01-01-05,5-1-01-03-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-40,AJUSTE HORAS EXTRAS,3-1-001-01-01-05,5-1-01-03-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-41,PRIM. SEMES .PROPORCIO,3-1-001-01-01-11,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-42,PRIM .VAC .PROPORCIONA,3-1-001-01-01-14,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-43,SUEL .VAC  .PROPORCION,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-44,PRIM. NAV.  PROPORCIONA,3-1-001-01-01-13,5-1-01-14-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-45,PRIMA POR ANTIGUEDAD,3-1-001-01-01-16,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-46,PRIMA SECRETARIAL,3-1-001-01-01-17,5-1-01-64-03-02,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-47,AJUSTE PRIMA SECRETARIAL,3-1-001-01-01-17,5-1-01-64-03-02,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-48,AJUSTE PRIMA POR ANTIGUEDAD,3-1-001-01-01-16,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-49,DOCEAVA BONIFICACION POR SERV,3-1-001-01-01-08,5-1-01-50-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-50,BONIF ESP RECREACION,3-1-001-01-01-26,5-1-01-18-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-51,AJUSTE BONIF RECREACION,3-1-001-01-01-26,5-1-01-18-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-52,AJUSTE PRIMA VACACIONES RETRO,3-1-001-01-01-14,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-53,AJUSTE SUELDO VACACIONES RETRO,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-54,AJUSTE PRIMA NAVIDAD RETRO,3-1-001-01-01-13,5-1-01-14-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-55,AJUSTE BONIF XSERV RETRO,3-1-001-01-01-08,5-1-01-50-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-56,AJUSTE PRIMA SEMESTRAL RETRO,3-1-001-01-01-11,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-57,AJUSTE VACACIONES RETRO,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-58,AJUSTE PRIMA TECNICA RETRO,3-1-001-01-01-15,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-59,AJUSTE PRIMA ANTIG RETRO,3-1-001-01-01-16,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-60,AJUSTE GTOS. REPRES. RETRO,3-1-001-01-01-04,5-1-01-05-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-61,AJUSTE HORAS EXTRAS RETRO,3-1-001-01-01-05,5-1-01-03-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-62,AJUSTE PRIMA SECRETARIAL RETRO,3-1-001-01-01-17,5-1-01-64-03-02,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-63,AJUSTE BONIF. RECREACION RETRO,3-1-001-01-01-26,5-1-01-18-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-64,SUELDO BASICO V.,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-65,PRIMA TECNICA V,3-1-001-01-01-01,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-66,PRIMA ANTIG V,3-1-001-01-01-01,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-67,GASTOS REP. V,3-1-001-01-01-01,5-1-01-05-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-68,PRIMA ALI V,3-1-001-01-01-01,5-1-01-60-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-69,SUB TRNASPORTE V,3-1-001-01-01-01,5-1-01-23-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-70,DOCE PRIMA SERVICIOS V,3-1-001-01-01-01,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-71,DOCE BON SERVICIOS V,3-1-001-01-01-01,5-1-01-50-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-72,DOCE QUINQUENIO V,3-1-001-01-01-01,2-4-25-90-06-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-73,AJUSTE P.TECNI. VAC.RETRO,3-1-001-01-01-01,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-74,AJUSTE P.ANTI.VAC.RETRO,3-1-001-01-01-01,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-75,AJUSTE DOCE P. SERVI.VAC.RETRO,3-1-001-01-01-01,5-1-01-13-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-76,AJUSTE SUEL.BAS.VACA RETRO,3-1-001-01-01-01,5-1-01-17-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-77,AJUSTE DOCE. BONI.SERVICIOS V.,3-1-001-01-01-01,5-1-01-50-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-78,AJUSTE DOCE. PRIMA SERVICIOS V,3-1-001-01-01-01,5-1-01-52-00-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-79,AJUSTE PRIMA ANTG. V,3-1-001-01-01-01,5-1-01-64-03-01,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-80,AJUSTE PRIMA TECNICA V.,3-1-001-01-01-01,5-1-01-64-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
,1-81,AJUSTE SUELDO BASICO V,3-1-001-01-01-01,5-1-01-01-01-00,5-1-01-01-03-00,2017-07-27,FALSE,,,2,X,X,X,X
